Term,Category,Genes
Diacylglycerol/phorbol-ester binding,Cytoplasmic,PRKD1 PRKD3 CHN2 PRKCZ PRKCE PRKCH RASGRP1 ARAF BRAF PRKD2 PRKCB PRKCI PRKCD PRKCA PRKCQ RASGRP3 RAF1 CDC42BPB
"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",Cytoplasmic,PRKD1 PRKD3 RASGRP1 ARAF RACGAP1 RASGRP2 ARHGEF2 PRKCQ ROCK1 CHN2 DGKD AKAP13 RASSF1 BRAF PRKCI PRKCD VAV3 RAF1 CDC42BPB DGKA CDC42BPA VAV2 PRKD2 RASGRP3 PRKCB VAV1 PRKCA PRKCH ROCK2 DGKZ PRKCZ PRKCE KSR1
Calponin homology domain,Structural,UTRN IQGAP2 MICAL2 MAPRE1 FLNC SPTBN4 LRCH3 MAPRE3 PARVA SPTBN1 LCP1 TAGLN CNN3 CAMSAP1 ACTN1 IQGAP1 VAV3 MICALL1 GAS2L1 ARHGEF7 CCDC88C ARHGEF6 LMO7 MAPRE2 CCDC88A VAV2 CNN1 VAV1 CAMSAP2 TAGLN2 SMTN PLEC CNN2 FLNA MACF1 DIXDC1
BRCT domain,Cytoplasmic,TERF2IP RFC1 BRCA1 BARD1 LIG3 ECT2 NBN POLL MDC1 TOPBP1 PARP1 POLM MCPH1 CTDP1 TP53BP1 LIG4 XRCC1 DBF4
Basic-leucine zipper domain,Nuclear,CREB1 NFE2L1 CREM ATF6 NFE2 ATF1 FOSL1 MAFA FOSL2 ATF2 JUN XBP1 CEBPA BACH2 FOSB DDIT3 CEBPB MAFG ATF4 CEBPD ATF7 FOS NFE2L2 JUNB JUND CREB3 JDP2
Ion transport domain,Transport,TRPV6 KCND1 TRPV5 KCNQ5 RYR1 KCND2 TRPC5 TRPV1 KCNA1 KCNA3 TRPM4 KCND3 TRPM6 TRPC3 TRPA1 KCNA4 TRPM8 HCN4 RYR2 TRPM2 KCNB1 TRPM7 KCNA5 TRPC1 SCN8A SCN5A ITPR1 KCNH2 TRPC6 KCNQ1 TRPC4 KCNQ2 CACNA1H TRPV3 SCN9A KCNMA1 HVCN1 KCNC4 CACNA1C TRPV4
Ubiquitin-associated domain,Cytoplasmic,RSC1A1 CBL MARK2 SIK1 MARK1 USP24 CBLB HUWE1 MARK4 SIK2 SIK3 UBQLN4 UBXN1 LATS2 BRSK1 USP13 UBAP2L SNRK LATS1 MARK3 SQSTM1 NBR1
Ets domain,Nuclear,SPDEF SPIB ETS1 ETV6 ETV1 ELF4 FLI1 ELK4 SPI1 ERG SPIC ELK1 ELF3 ETS2 ERF ETV5 ELK3
PB1 domain,Cytoplasmic,PARD6A MAP3K3 MAP2K5 PRKCI TFG NCF2 SQSTM1 PRKCZ NOXA1 NBR1 NCF4
Rel homology dimerisation domain,Nuclear,RELA REL NFATC4 RELB NFKB2 NFATC3 NFAT5 NFATC1 NFKB1
"Rel homology domain (RHD), DNA-binding domain",Nuclear,RELA REL NFATC4 RELB NFKB2 NFATC3 NFAT5 NFATC1 NFKB1
RNA recognition motif domain,Nuclear,RBMXL1 SSB HNRNPA0 NELFE G3BP1 RBM26 RBM17 ENOX2 SNRNP70 SRSF2 RBM4 EIF4B RBM42 TUT1 RBM39 HNRNPH1 TARDBP MATR3 RBM38 HNRNPD EWSR1 SRSF1 U2AF2 RBM14 SRSF9 SRSF3 HNRNPA1 RNPS1 HNRNPA2B1 HNRNPC RBM27 FUS SFPQ DAZL ZNF638 NCL NIFK CELF1 SRSF11 HNRNPM SLTM RBM10 RBMX SYNCRIP LARP7 HNRNPL RBM8A RBM28 RAVER1 RALY PPARGC1A ELAVL1 ALYREF RBM3 HNRNPF SPEN DAZAP1 SYNJ2 HNRNPH2 PTBP1 RBM7 POLDIP3
"Zinc finger, PHD-type",Nuclear,BAZ1B PHF2 AIRE TRIM28 KDM2A JADE1 KDM5A KAT6A BAZ1A ING1 PHF8 KMT2A PHF23 PHF20 DPF3 KMT2E RSF1 BAZ2A ING5 KDM4B TRIM24 UHRF1 KMT2D TRIM33 PHF6 DPF2 KDM5B PYGO2 PHF14 NSD2 KDM4C CHD4
"Myc-type, basic helix-loop-helix (bHLH) domain",Nuclear,MITF MAX NCOA2 TFE3 MXD1 EPAS1 ID1 NCOA1 TAL1 NCOA3 MYC HES5 MYCN AHR MYCL MYOD1 HES1 MYF5 BHLHE40 ID2 MLXIPL ARNT HIF1A ID3 LYL1 SIM2 HES6 TWIST1 TAL2 TFEB CLOCK TCF3 SREBF1 SREBF2 USF2 USF1 HAND1
Histone deacetylase domain,Nuclear,HDAC4 HDAC9 HDAC6 HDAC2 HDAC5 HDAC3 HDAC7 HDAC1 HDAC8
"STAT transcription factor, protein interaction",Nuclear,STAT1 STAT5A STAT6 STAT4 STAT5B STAT2 STAT3
"STAT transcription factor, DNA-binding",Nuclear,STAT1 STAT5A STAT6 STAT4 STAT5B STAT2 STAT3
"STAT transcription factor, all-alpha domain",Nuclear,STAT1 STAT5A STAT6 STAT4 STAT5B STAT2 STAT3
"Zinc finger, PHD-finger",Nuclear,PHF2 BAZ1B AIRE TRIM28 KDM2A JADE1 KDM5A KAT6A BAZ1A ING1 PHF8 KMT2A PHF23 DPF3 KMT2E RSF1 BAZ2A ING5 TRIM24 UHRF1 KMT2D TRIM33 DPF2 KDM5B PYGO2 PHF14 NSD2 CHD4
Cyclin-like,Cytoplasmic,RBL1 CCNO CCND2 CCNA2 CCNE1 RB1 CCNT1 CCNH RBL2 CCNB1 CABLES1 CCNF CCNY CCND3 CCND1 CCNL2 BRF1
CRIB domain,Cytoplasmic,PAK3 PAK6 CDC42BPA PAK1 WASL PAK2 CDC42EP4 PAK5 CDC42BPB WAS PAK4
p21 activated kinase binding domain,Cytoplasmic,PAK6 PAK4 PAK1 PAK2 PAK5 PAK3
"SLC12A transporter, C-terminal",Transport,SLC12A1 SLC12A6 SLC12A7 SLC12A3 SLC12A5 SLC12A4 SLC12A2
Dbl homology (DH) domain,Catalytic,RASGRF2 ARHGEF4 ECT2 ARHGEF2 PREX2 BCR TIAM1 NET1 AKAP13 VAV3 KALRN ARHGEF7 RASGRF1 ARHGEF6 ARHGEF17 PLEKHG1 VAV2 VAV1 TRIO ARHGEF1 PLEKHG6 NGEF SOS1 PREX1 PLEKHG2
Tyrosine specific protein phosphatases domain,Catalytic,DUSP1 PTPRT SSH3 PTPRJ DUSP4 PTPN7 DUSP16 DUSP10 PTPN1 PTPN11 DUSP5 PTPN6 PTPN12 PTPRF PTPRC PTPN22 PTPRA PTPN3 SSH1 DUSP3 EPM2A DUSP6 MTMR2 CDC14A PTPN2 PTPRR PTPN18
RGS domain,Cytoplasmic,RGS13 RGS10 GRK5 GRK4 RGS18 RGS14 RGS2 AXIN2 RGS16 GRK6 RGS19 AXIN1 GRK2 GRK1 RGS7 GRK7
WW domain,Cytoplasmic,UTRN YAP1 MAGI1 PIN1 IQGAP2 NEDD4L ITCH BAG3 WAC PQBP1 IQGAP1 WWOX APBB1 CEP164 NEDD4 WWC1 SMURF2 WWTR1 DGCR8 SAV1
SAP domain,Nuclear,MRTFA HNRNPUL1 PIAS4 DEK PIAS1 SLTM XRCC6 MYOCD RAD18 SF3B2 ACIN1 HNRNPU
"Peptidase C14,  p20 domain",Catalytic,CASP1 CFLAR CASP9 CASP6 CASP8 CASP7 CASP2 MALT1 CASP3
IPT domain,Nuclear,PLXNB1 RELA REL NFATC4 RELB NFKB2 NFAT5 PLXNA2 NFATC3 PLXNA1 MET NFATC1 NFKB1 MST1R
PAS fold,Nuclear,AHR PDE8A SIM2 NCOA2 CLOCK EPAS1 NCOA1 NCOA3 ARNT HIF1A
"Protein-tyrosine phosphatase, catalytic",Catalytic,DUSP1 PTEN TNS3 PTPRT PTPRJ DUSP4 PTPN7 PTPN1 PTPN11 DUSP5 PTPN6 PTPN12 PTPRF PTPRC PTPN22 PTPRA PTPN3 MTMR2 CDC14A PTPN2 PTPRR PTPN18
Forkhead-associated (FHA) domain,Catalytic,PPP1R8 MKI67 NBN MDC1 FOXK2 KIF1C KIF14 AFDN APTX CEP170B MCRS1 APLF KIF13B TIFA CHEK2
Amino acid permease/ SLC12A domain,Transport,SLC12A1 SLC12A6 SLC12A7 SLC12A3 SLC12A5 SLC12A4 SLC12A2
Furin-like cysteine-rich domain,Cytoplasmic,INSR ERBB4 ERBB3 ERBB2 EGFR IGF1R
14-3-3 domain,Cytoplasmic,YWHAQ SFN YWHAB YWHAG YWHAE YWHAZ
Receptor L-domain,Cytoplasmic,INSR ERBB4 ERBB3 ERBB2 EGFR IGF1R
"Integrin beta subunit, tail",Structural,ITGB5 ITGB1 ITGB2 ITGB4 ITGB7 ITGB3
"Transcription factor, MADS-box",Nuclear,MEF2D MEF2C MEF2A SRF MEF2B
NFkappaB IPT domain,Nuclear,RELA REL RELB NFKB2 NFKB1
Kinase associated domain 1 (KA1),Catalytic,MARK2 MELK MARK4 MARK3 MARK1
PAS domain,Cytoplasmic,AHR KCNH2 PDE8A SIM2 NCOA2 CLOCK PER2 EPAS1 NCOA1 PER3 NCOA3 ARNT PASK HIF1A
Actin-depolymerising factor homology domain,Structural,GMFB DSTN DBN1 CFL2 GMFG DBNL CFL1
"Phosphatidylinositol 3-/4-kinase, catalytic domain",Catalytic,PRKDC MTOR PIK3CG PIK3C3 ATM PIK3CD PIK3CB PI4KB ATR PIK3C2A
Bromodomain,Nuclear,BAZ1B KAT2A BAZ2A CREBBP TRIM28 KAT2B TRIM24 TAF1 BRD9 KMT2A SMARCA4 PBRM1 EP300 TRIM33 BAZ1A BRD4
PTB/PI domain,Cytoplasmic,APBA3 APBB1 APPL1 NUMB TBC1D1 SHC1 DAB2 EPS8 DAB1 CCM2 TNS3 ITGB1BP1 SHC3 MAPK8IP1 SHC4 TBC1D4
"Peptidase C14A, caspase catalytic domain",Catalytic,CASP1 CFLAR CASP9 CASP6 CASP8 CASP7 CASP2 CASP3
DEP domain,Cytoplasmic,PLEK DVL2 PIKFYVE DEPDC5 DEPTOR DVL3 RAPGEF3 DEPDC1 PREX1 PREX2 RGS7
PTP type protein phosphatase,Catalytic,PTPN7 PTPN6 PTPN1 PTPN2 PTPN11 PTPN12 PTPRF PTPRC PTPN22 PTPRT PTPRR PTPRJ PTPN18 PTPRA PTPN3
"Cold-shock protein, DNA-binding",Nuclear,CARHSP1 LIN28A YBX3 YBX1 LIN28B YBX2
Cold shock domain,Nuclear,CARHSP1 LIN28A YBX3 YBX1 LIN28B YBX2
"MAD homology, MH1",Nuclear,SMAD6 SMAD9 SMAD4 SMAD2 SMAD3 SMAD1
"Integrin beta subunit, VWA domain",Structural,ITGB5 ITGB1 ITGB2 ITGB4 ITGB7 ITGB3
"SMAD domain, Dwarfin-type",Nuclear,SMAD6 SMAD9 SMAD4 SMAD2 SMAD3 SMAD1
Integrin beta N-terminal,Structural,ITGB5 ITGB1 ITGB2 ITGB4 ITGB7 ITGB3
"Cyclin, N-terminal",Cytoplasmic,CCNO CCND2 CCNA2 CCNE1 CCNT1 CCNH CCNB1 CCNF CABLES1 CCNY CCND1 CCND3 CCNL2
PDZ domain,Cytoplasmic,LIMK1 MAGI1 SNTA1 IL16 PREX2 AHNAK LRRC7 TIAM1 LIMK2 DLG2 ARHGAP23 PICK1 PPP1R9A DVL3 PARD3 DLG5 RAPGEF2 SNX27 PPP1R9B LMO7 DLG1 HTRA2 DVL2 AFDN PDZK1 DEPTOR CNKSR1 DLG3 PTPN3 CASK ARHGAP21 NOS1 SCRIB DLG4 PREX1 APBA3 SDCBP PARD6A
"Cyclin, C-terminal domain",Cytoplasmic,CCND2 CCNO CCNA2 CCNE1 CCNF CCNB1 CCND1 CCND3 CCNL2
HD/PDEase domain,Catalytic,PDE8A PDE4C PDE5A PDE3A PDE4B PDE10A PDE11A SAMHD1 PDE4A PDE4D PDE3B
Pointed domain,Nuclear,SPDEF ETS1 ETV6 FLI1 ERG ELF3 ETS2
Transient receptor ion channel domain,Transport,TRPC6 TRPC4 TRPC1 TRPC3 TRPC5
MCM N-terminal domain,Nuclear,MCM2 MCM7 MCM3 MCM5 MCM4
"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain",Catalytic,PDE8A PDE4C PDE5A PDE3A PDE4B PDE10A PDE11A PDE4A PDE4D PDE3B
"Calmodulin-regulated spectrin-associated protein, CH domain",Structural,VAV2 CAMSAP1 VAV1 VAV3 CAMSAP2
"Integrin beta subunit, cytoplasmic domain",Structural,ITGB5 ITGB1 ITGB2 ITGB7 ITGB3
"Zinc finger, GATA-type",Nuclear,MTA2 GATAD2A MTA1 GATA6 GATA1 GATA2 GATA4 GATA3
Ras GTPase-activating domain,Cytoplasmic,IQGAP2 SYNGAP1 RASAL2 DAB2IP GAPVD1 IQGAP1 RASA1 NF1
"Phosphatidylinositol-4-phosphate 5-kinase, core",Cytoplasmic,PIKFYVE PIP5K1B PIP4K2B PIP5K1C PIP4K2C PIP4K2A
Myb domain,Nuclear,TERF2 MYB MYBL1 TERF1 CDC5L MYBL2
MATH/TRAF domain,Catalytic,TRAF6 TRAF3 MEP1B TRAF2 USP7 SPOP TRAF4
Ran binding domain,Cytoplasmic,NUP50 RGPD3 RANBP3 RGPD6 RGPD4 RANBP2 RGPD8
"Peptidase C14, caspase non-catalytic subunit p10",Catalytic,CASP1 CASP9 CASP6 CASP8 CASP7 CASP2 CASP3
Rho GTPase-activating protein domain,Cytoplasmic,ARHGAP19 ARHGAP15 RACGAP1 ARHGAP35 BCR CHN2 ARHGAP23 ARHGAP8 ARHGAP17 ARHGAP5 ARAP1 PIK3R1 TAGAP DLC1 ARHGAP33 ARHGAP22 ARHGAP24 RALBP1 ARHGAP21 ARHGAP31
"Potassium channel, inwardly rectifying, transmembrane domain",Transport,KCNJ4 KCNJ12 KCNJ13 KCNJ11 KCNJ3 KCNJ5 KCNJ1 KCNJ2
CARD domain,Cytoplasmic,PYCARD CASP1 APAF1 CASP9 CARD11 BCL10 NOL3 CASP2 DLG5 CARD9 RIPK2
Syndecan/Neurexin domain,Structural,NRXN1 SDC2 SDC1 SDC3 SDC4
W2 domain,Nuclear,EIF5 EIF4G3 EIF2B5 EIF4G2 EIF4G1
DIX domain,Cytoplasmic,DVL2 AXIN2 DVL3 AXIN1 DIXDC1
Raf-like Ras-binding,Cytoplasmic,TIAM1 RGS14 ARAF BRAF RAF1
"Sirtuin family, catalytic core domain",Catalytic,SIRT1 SIRT7 SIRT6 SIRT3 SIRT2
CAP Gly-rich domain,Structural,TBCE CLIP1 TBCB DCTN1 CYLD KIF13B
"Phosphoinositide 3-kinase, accessory (PIK) domain",Catalytic,PIK3CG PIK3C3 PIK3CD PIK3CB PI4KB PIK3C2A
K Homology domain,Nuclear,NOVA2 SF1 HNRNPK KHDRBS1 KHSRP PCBP1 PCBP2 HDLBP ANKRD17 FUBP1 PNPT1 FXR1 FMR1
Rhodanese-like domain,Catalytic,DUSP1 DUSP16 CDC25B DUSP10 DUSP5 DUSP6 DUSP4 USP8 CDC25A CDC25C
"Helicase, C-terminal",Nuclear,DDX3Y CHD7 IFIH1 BLM EP400 DDX25 RAD54L DDX5 FANCM HELLS DDX1 ERCC3 DDX52 ERCC6L DDX19B WRN RECQL4 DDX3X DDX41 EIF4A3 DHX38 CHD4 ERCC6 SMARCAL1 SMARCA4 DDX19A RECQL5 DDX24
HECT domain,Catalytic,HUWE1 NEDD4L AREL1 ITCH NEDD4 HECTD3 UBR5 TRIP12 SMURF2 HACE1 UBE3A
Kinesin motor domain,Structural,CENPE KIF20A KIF2C KIF11 KIF1C KIF14 KIF2B KIF2A KIF22 KIF20B KIF3A KIF23 KIF13B KIF4A KIFC1
Ankyrin repeat-containing domain,Cytoplasmic,TRPV6 GIT1 INVS ANKRD12 NFKB2 NFKBIA TRPV5 PPP1R12A NOTCH2 HACE1 TP53BP2 NFKBIB PPP1R12B LRRK1 TRPC5 ANKLE2 BARD1 TRPV1 NOTCH1 BCL3 ASB8 ANKRD2 TRPC3 KIDINS220 TRPA1 IBTK PPP1R16B ZDHHC13 CDKN2D ANKRD28 AGAP2 EHMT2 CDKN2A TANC1 ACAP1 TNKS TRPC1 ASB2 PPP1R12C GIT2 DAPK1 PPP1R13L ILK OSTF1 TRPC6 TRPC4 ASAP3 GLS TRPV3 ANKRD17 SNCAIP DGKZ TEX14 NFKB1 TRPV4
Band 4.1 domain,Cytoplasmic,TYK2 RDX JAK2 PTK2 EZR JAK3 FERMT3 EPB41 NF2 JAK1 MSN TLN1 FERMT2 PTK2B PTPN3 EPB41L3
"K Homology domain, type 1",Nuclear,NOVA2 SF1 HNRNPK KHDRBS1 KHSRP PCBP1 PCBP2 HDLBP ANKRD17 FUBP1 PNPT1 FXR1 FMR1
"Tubulin/FtsZ, 2-layer sandwich domain",Structural,TUBA1A TUBB2A TUBB TUBA4A TUBG1 TUBB3 TUBA1C TUBG2 TUBA1B
WH2 domain,Structural,MTSS1 INF2 WIPF1 WASF2 COBLL1 WASL WASF1 WAS WASF3
"APBB1IP, PH domain",Cytoplasmic,GRB7 RAPH1 GRB10 GRB14
"MYST, zinc finger domain",Nuclear,KAT8 KAT6A KAT5 KAT7
"PIK-related kinase, FAT",Catalytic,PRKDC MTOR ATM ATR
Chromo/chromo shadow domain,Nuclear,CHD7 CBX4 CBX5 CBX3 ARID4A CBX8 SMARCC2 CBX1 CHD4 SUV39H1 KAT8 KAT5
"Zinc finger, RanBP2-type",Nuclear,EWSR1 MDM2 RBM10 ZRANB1 SHARPIN FUS TAB3 MDM4 NUP153 RANBP2
PWI domain,Nuclear,SRRM1 RBM27 PRPF3 RBM26
"Ephrin receptor, transmembrane domain",Catalytic,EPHA4 EPHB3 EPHB2 EPHA3 EPHA2 EPHA8 EPHB1
"Histone acetyltransferase domain, MYST-type",Catalytic,KAT8 KAT6A KAT5 KAT7
Ephrin receptor ligand binding domain,Cytoplasmic,EPHA4 EPHB3 EPHB2 EPHA3 EPHA2 EPHA8 EPHB1
"Helicase superfamily 1/2, ATP-binding domain",Nuclear,DDX3Y CHD7 IFIH1 BLM EP400 DDX25 RAD54L DDX5 FANCM HELLS DDX1 ERCC3 DDX52 ERCC6L DDX19B WRN RECQL4 DDX3X DDX41 EIF4A3 DHX38 CHD4 ERCC6 SMARCAL1 SMARCA4 DDX19A RECQL5 DDX24
"Integrin beta, epidermal growth factor-like domain 1",Structural,ITGB1 ITGB3 ITGB4 ITGB5
Rho GTPase-binding/formin homology 3 (GBD/FH3) domain,Structural,INF2 FHOD1 DIAPH1 DIAPH3 DAAM1 FMNL2
