UniProt,GeneName,Group,FullName
Q04771,ACVR1,TKL,Activin a receptor type 1
P36896,ACVR1B,TKL,Activin a receptor type 1b
P37023,ACVRL1,TKL,Activin a receptor like type 1
Q13444,ADAM15,Non-kinase,Adam metallopeptidase domain 15
P78536,ADAM17,Non-kinase,Adam metallopeptidase domain 17
O75689,ADAP1,Non-kinase,Arfgap with dual ph domains 1
P55265,ADAR,Non-kinase,Adenosine deaminase rna specific
P78563,ADARB1,Non-kinase,Adenosine deaminase rna specific b1
Q3MIX3,ADCK5,Atypical,Aarf domain containing kinase 5
O60266,ADCY3,Non-kinase,Adenylate cyclase 3
P35611,ADD1,Non-kinase,Adducin 1
P35612,ADD2,Non-kinase,Adducin 2
Q9UEY8,ADD3,Non-kinase,Adducin 3
Q96A54,ADIPOR1,Non-kinase,Adiponectin receptor 1
P35368,ADRA1B,Non-kinase,Adrenoceptor alpha 1b
P25100,ADRA1D,Non-kinase,Adrenoceptor alpha 1d
P08913,ADRA2A,Non-kinase,Adrenoceptor alpha 2a
P08588,ADRB1,Non-kinase,Adrenoceptor beta 1
P07550,ADRB2,Non-kinase,Adrenoceptor beta 2
Q8N556,AFAP1,Non-kinase,Actin filament associated protein 1
Q8N4X5,AFAP1L2,Non-kinase,Actin filament associated protein 1 like 2
P55196,AFDN,Non-kinase,"Afadin, adherens junction formation factor"
Q99490,AGAP2,Non-kinase,"Arfgap with gtpase domain, ankyrin repeat and ph domain 2"
Q15109,AGER,Non-kinase,Advanced glycosylation end-product specific receptor
Q9UKV8,AGO2,Non-kinase,Argonaute risc catalytic component 2
P30556,AGTR1,Non-kinase,Angiotensin ii receptor type 1
Q09666,AHNAK,Non-kinase,Ahnak nucleoprotein
P35869,AHR,Non-kinase,Aryl hydrocarbon receptor
O95433,AHSA1,Non-kinase,Activator of hsp90 atpase activity 1
Q9GZX7,AICDA,Non-kinase,Activation induced cytidine deaminase
O95831,AIFM1,Non-kinase,Apoptosis inducing factor mitochondria associated 1
Q12904,AIMP1,Non-kinase,Aminoacyl trna synthetase complex interacting multifunctional protein 1
Q13155,AIMP2,Non-kinase,Aminoacyl trna synthetase complex interacting multifunctional protein 2
O00170,AIP,Non-kinase,Aryl hydrocarbon receptor interacting protein
O43918,AIRE,Non-kinase,Autoimmune regulator
Q96IF1,AJUBA,Non-kinase,Ajuba lim protein
Q5JQC9,AKAP4,Non-kinase,A-kinase anchoring protein 4
P24588,AKAP5,Non-kinase,A-kinase anchoring protein 5
O43823,AKAP8,Non-kinase,A-kinase anchoring protein 8
Q99996,AKAP9,Non-kinase,A-kinase anchoring protein 9
Q9UKA4,AKAP11,Non-kinase,A-kinase anchoring protein 11
Q02952,AKAP12,Non-kinase,A-kinase anchoring protein 12
Q12802,AKAP13,Non-kinase,A-kinase anchoring protein 13
Q53H80,AKIRIN2,Non-kinase,Akirin 2
P31749,AKT1,AGC,Akt serine/threonine kinase 1
Q96B36,AKT1S1,Non-kinase,Akt1 substrate 1
P31751,AKT2,AGC,Akt serine/threonine kinase 2
Q9Y243,AKT3,AGC,Akt serine/threonine kinase 3
Q9H8T0,AKTIP,Non-kinase,Akt interacting protein
P00352,ALDH1A1,Non-kinase,Aldehyde dehydrogenase 1 family member a1
P05091,ALDH2,Non-kinase,Aldehyde dehydrogenase 2 family member
P51649,ALDH5A1,Non-kinase,Aldehyde dehydrogenase 5 family member a1
Q9UM73,ALK,TK,Alk receptor tyrosine kinase
P09917,ALOX5,Non-kinase,Arachidonate 5-lipoxygenase
Q96QP1,ALPK1,Atypical,Alpha kinase 1
Q86V81,ALYREF,Non-kinase,Aly/ref export factor
Q9C0C7,AMBRA1,Non-kinase,Autophagy and beclin 1 regulator 1
Q9UKV5,AMFR,Non-kinase,Autocrine motility factor receptor
Q4VCS5,AMOT,Non-kinase,Angiomotin
Q8IY63,AMOTL1,Non-kinase,Angiomotin like 1
Q9Y2J4,AMOTL2,Non-kinase,Angiomotin like 2
P49418,AMPH,Non-kinase,Amphiphysin
Q9H1A4,ANAPC1,Non-kinase,Anaphase promoting complex subunit 1
Q9UJX5,ANAPC4,Non-kinase,Anaphase promoting complex subunit 4
Q9UJX3,ANAPC7,Non-kinase,Anaphase promoting complex subunit 7
Q86XL3,ANKLE2,Non-kinase,Ankyrin repeat and lem domain containing 2
Q9GZV1,ANKRD2,Non-kinase,Ankyrin repeat domain 2
Q6UB98,ANKRD12,Non-kinase,Ankyrin repeat domain 12
O75179,ANKRD17,Non-kinase,Ankyrin repeat domain 17
O15084,ANKRD28,Non-kinase,Ankyrin repeat domain 28
P39687,ANP32A,Non-kinase,Acidic nuclear phosphoprotein 32 family member a
Q92688,ANP32B,Non-kinase,Acidic nuclear phosphoprotein 32 family member b
P04083,ANXA1,Non-kinase,Annexin a1
P07355,ANXA2,Non-kinase,Annexin a2
A6NMY6,ANXA2P2,Non-kinase,Annexin a2 pseudogene 2
Q9BXS5,AP1M1,Non-kinase,Adaptor related protein complex 1 subunit mu 1
P63010,AP2B1,Non-kinase,Adaptor related protein complex 2 subunit beta 1
Q96CW1,AP2M1,Non-kinase,Adaptor related protein complex 2 subunit mu 1
O14727,APAF1,Non-kinase,Apoptotic peptidase activating factor 1
O96018,APBA3,Non-kinase,Amyloid beta precursor protein binding family a member 3
O00213,APBB1,Non-kinase,Amyloid beta precursor protein binding family b member 1
P25054,APC,Non-kinase,Apc regulator of wnt signaling pathway
P27695,APEX1,Non-kinase,Apurinic/apyrimidinic endodeoxyribonuclease 1
Q8IW19,APLF,Non-kinase,Aprataxin and pnkp like factor
Q06481,APLP2,Non-kinase,Amyloid beta precursor like protein 2
Q9UH17,APOBEC3B,Non-kinase,Apolipoprotein b mrna editing enzyme catalytic subunit 3b
Q9HC16,APOBEC3G,Non-kinase,Apolipoprotein b mrna editing enzyme catalytic subunit 3g
P02649,APOE,Non-kinase,Apolipoprotein e
P05067,APP,Non-kinase,Amyloid beta precursor protein
Q9UKG1,APPL1,Non-kinase,"Adaptor protein, phosphotyrosine interacting with ph domain and leucine zipper 1"
Q7Z2E3,APTX,Non-kinase,Aprataxin
P29972,AQP1,Non-kinase,Aquaporin 1 (colton blood group)
P41181,AQP2,Non-kinase,Aquaporin 2
P55087,AQP4,Non-kinase,Aquaporin 4
P55064,AQP5,Non-kinase,Aquaporin 5
O43315,AQP9,Non-kinase,Aquaporin 9
P10275,AR,Non-kinase,Androgen receptor
P10398,ARAF,TKL,"A-raf proto-oncogene, serine/threonine kinase"
Q96P48,ARAP1,Non-kinase,"Arfgap with rhogap domain, ankyrin repeat and ph domain 1"
O15033,AREL1,Non-kinase,Apoptosis resistant e3 ubiquitin protein ligase 1
Q9Y6D6,ARFGEF1,Non-kinase,Adp ribosylation factor guanine nucleotide exchange factor 1
P53367,ARFIP1,Non-kinase,Adp ribosylation factor interacting protein 1
P53365,ARFIP2,Non-kinase,Adp ribosylation factor interacting protein 2
Q13017,ARHGAP5,Non-kinase,Rho gtpase activating protein 5
P85298,ARHGAP8,Non-kinase,Rho gtpase activating protein 8
Q53QZ3,ARHGAP15,Non-kinase,Rho gtpase activating protein 15
Q68EM7,ARHGAP17,Non-kinase,Rho gtpase activating protein 17
Q14CB8,ARHGAP19,Non-kinase,Rho gtpase activating protein 19
Q5T5U3,ARHGAP21,Non-kinase,Rho gtpase activating protein 21
Q7Z5H3,ARHGAP22,Non-kinase,Rho gtpase activating protein 22
Q9P227,ARHGAP23,Non-kinase,Rho gtpase activating protein 23
Q8N264,ARHGAP24,Non-kinase,Rho gtpase activating protein 24
Q2M1Z3,ARHGAP31,Non-kinase,Rho gtpase activating protein 31
O14559,ARHGAP33,Non-kinase,Rho gtpase activating protein 33
Q9NRY4,ARHGAP35,Non-kinase,Rho gtpase activating protein 35
P52565,ARHGDIA,Non-kinase,Rho gdp dissociation inhibitor alpha
P52566,ARHGDIB,Non-kinase,Rho gdp dissociation inhibitor beta
Q92888,ARHGEF1,Non-kinase,Rho guanine nucleotide exchange factor 1
Q92974,ARHGEF2,Non-kinase,Rho/rac guanine nucleotide exchange factor 2
Q9NR80,ARHGEF4,Non-kinase,Rho guanine nucleotide exchange factor 4
Q15052,ARHGEF6,Non-kinase,Rac/cdc42 guanine nucleotide exchange factor 6
Q14155,ARHGEF7,Non-kinase,Rho guanine nucleotide exchange factor 7
Q96PE2,ARHGEF17,Non-kinase,Rho guanine nucleotide exchange factor 17
O14497,ARID1A,Non-kinase,At-rich interaction domain 1a
P29374,ARID4A,Non-kinase,At-rich interaction domain 4a
Q8N2F6,ARMC10,Non-kinase,Armadillo repeat containing 10
P27540,ARNT,Non-kinase,Aryl hydrocarbon receptor nuclear translocator
O15143,ARPC1B,Non-kinase,Actin related protein 2/3 complex subunit 1b
O15511,ARPC5,Non-kinase,Actin related protein 2/3 complex subunit 5
P56211,ARPP19,Non-kinase,Camp regulated phosphoprotein 19
P49407,ARRB1,Non-kinase,Arrestin beta 1
P32121,ARRB2,Non-kinase,Arrestin beta 2
Q96QS3,ARX,Non-kinase,Aristaless related homeobox
Q8TDY4,ASAP3,Non-kinase,"Arfgap with sh3 domain, ankyrin repeat and ph domain 3"
Q96Q27,ASB2,Non-kinase,Ankyrin repeat and socs box containing 2
Q9H765,ASB8,Non-kinase,Ankyrin repeat and socs box containing 8
Q9Y294,ASF1A,Non-kinase,Anti-silencing function 1a histone chaperone
Q9NVP2,ASF1B,Non-kinase,Anti-silencing function 1b histone chaperone
P78348,ASIC1,Non-kinase,Acid sensing ion channel subunit 1
Q9UHC3,ASIC3,Non-kinase,Acid sensing ion channel subunit 3
Q96QE3,ATAD5,Non-kinase,Atpase family aaa domain containing 5
Q5SQI0,ATAT1,Non-kinase,Alpha tubulin acetyltransferase 1
P18846,ATF1,Non-kinase,Activating transcription factor 1
P15336,ATF2,Non-kinase,Activating transcription factor 2
P18848,ATF4,Non-kinase,Activating transcription factor 4
P18850,ATF6,Non-kinase,Activating transcription factor 6
P17544,ATF7,Non-kinase,Activating transcription factor 7
Q9Y4P1,ATG4B,Non-kinase,Autophagy related 4b cysteine peptidase
Q9H1Y0,ATG5,Non-kinase,Autophagy related 5
Q7Z3C6,ATG9A,Non-kinase,Autophagy related 9a
O75143,ATG13,Non-kinase,Autophagy related 13
Q6ZNE5,ATG14,Non-kinase,Autophagy related 14
Q676U5,ATG16L1,Non-kinase,Autophagy related 16 like 1
Q9BSB4,ATG101,Non-kinase,Autophagy related 101
P31939,ATIC,Non-kinase,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/imp cyclohydrolase
Q13315,ATM,Atypical,Atm serine/threonine kinase
P54259,ATN1,Non-kinase,Atrophin 1
P05023,ATP1A1,Non-kinase,Atpase na+/k+ transporting subunit alpha 1
P16615,ATP2A2,Non-kinase,Atpase sarcoplasmic/endoplasmic reticulum ca2+ transporting 2
P20020,ATP2B1,Non-kinase,Atpase plasma membrane ca2+ transporting 1
Q01814,ATP2B2,Non-kinase,Atpase plasma membrane ca2+ transporting 2
P23634,ATP2B4,Non-kinase,Atpase plasma membrane ca2+ transporting 4
P36542,ATP5F1C,Non-kinase,Atp synthase f1 subunit gamma
Q9UII2,ATP5IF1,Non-kinase,Atp synthase inhibitory factor subunit 1
Q04656,ATP7A,Non-kinase,Atpase copper transporting alpha
P35670,ATP7B,Non-kinase,Atpase copper transporting beta
Q13535,ATR,Atypical,Atr serine/threonine kinase
Q8WXE1,ATRIP,Non-kinase,Atr interacting protein
P54253,ATXN1,Non-kinase,Ataxin 1
Q8WWM7,ATXN2L,Non-kinase,Ataxin 2 like
P54252,ATXN3,Non-kinase,Ataxin 3
Q9UBB4,ATXN10,Non-kinase,Ataxin 10
O14965,AURKA,Other,Aurora kinase a
Q9NWT8,AURKAIP1,Non-kinase,Aurora kinase a interacting protein 1
Q96GD4,AURKB,Other,Aurora kinase b
Q9UQB9,AURKC,Other,Aurora kinase c
Q9NQS1,AVEN,Non-kinase,Apoptosis and caspase activation inhibitor
P30518,AVPR2,Non-kinase,Arginine vasopressin receptor 2
O15169,AXIN1,Non-kinase,Axin 1
Q9Y2T1,AXIN2,Non-kinase,Axin 2
P30530,AXL,TK,Axl receptor tyrosine kinase
Q9NWV8,BABAM1,Non-kinase,Brisc and brca1 a complex member 1
P56817,BACE1,Non-kinase,Beta-secretase 1
Q9BYV9,BACH2,Non-kinase,Btb domain and cnc homolog 2
Q92934,BAD,Non-kinase,Bcl2 associated agonist of cell death
O95816,BAG2,Non-kinase,Bag cochaperone 2
O95817,BAG3,Non-kinase,Bag cochaperone 3
P46379,BAG6,Non-kinase,Bag cochaperone 6
Q9UQB8,BAIAP2,Non-kinase,Bar/imd domain containing adaptor protein 2
Q9UHR4,BAIAP2L1,Non-kinase,Bar/imd domain containing adaptor protein 2 like 1
Q16611,BAK1,Non-kinase,Bcl2 antagonist/killer 1
O75531,BANF1,Non-kinase,Baf nuclear assembly factor 1
Q8N9N5,BANP,Non-kinase,Btg3 associated nuclear protein
Q99728,BARD1,Non-kinase,Brca1 associated ring domain 1
Q07812,BAX,Non-kinase,"Bcl2 associated x, apoptosis regulator"
Q9NRL2,BAZ1A,Atypical,Bromodomain adjacent to zinc finger domain 1a
Q9UIG0,BAZ1B,Atypical,Bromodomain adjacent to zinc finger domain 1b
Q9UIF9,BAZ2A,Non-kinase,Bromodomain adjacent to zinc finger domain 2a
Q9BXH1,BBC3,Non-kinase,Bcl2 binding component 3
P50895,BCAM,Non-kinase,Basal cell adhesion molecule (lutheran blood group)
P56945,BCAR1,Non-kinase,"Bcar1 scaffold protein, cas family member"
O14874,BCKDK,Atypical,Branched chain keto acid dehydrogenase kinase
P10415,BCL2,Non-kinase,Bcl2 apoptosis regulator
Q07817,BCL2L1,Non-kinase,Bcl2 like 1
O43521,BCL2L11,Non-kinase,Bcl2 like 11
Q9HB09,BCL2L12,Non-kinase,Bcl2 like 12
P20749,BCL3,Non-kinase,Bcl3 transcription coactivator
P41182,BCL6,Non-kinase,Bcl6 transcription repressor
O00512,BCL9,Non-kinase,Bcl9 transcription coactivator
O95999,BCL10,Non-kinase,Bcl10 immune signaling adaptor
Q9C0K0,BCL11B,Non-kinase,Bcl11 transcription factor b
Q9NYF8,BCLAF1,Non-kinase,Bcl2 associated transcription factor 1
P11274,BCR,Atypical,Bcr activator of rhogef and gtpase
P30411,BDKRB2,Non-kinase,Bradykinin receptor b2
P23560,BDNF,Non-kinase,Brain derived neurotrophic factor
Q14457,BECN1,Non-kinase,Beclin 1
O76090,BEST1,Non-kinase,Bestrophin 1
O14503,BHLHE40,Non-kinase,Basic helix-loop-helix family member e40
Q96G01,BICD1,Non-kinase,Bicd cargo adaptor 1
P55957,BID,Non-kinase,Bh3 interacting domain death agonist
Q13323,BIK,Non-kinase,Bcl2 interacting killer
O00499,BIN1,Non-kinase,Bridging integrator 1
O15392,BIRC5,Non-kinase,Baculoviral iap repeat containing 5
P51451,BLK,TK,"Blk proto-oncogene, src family tyrosine kinase"
P54132,BLM,Non-kinase,Blm recq like helicase
Q8WV28,BLNK,Non-kinase,B cell linker
P53004,BLVRA,Atypical,Biliverdin reductase a
O00327,BMAL1,Non-kinase,Basic helix-loop-helix arnt like 1
Q96LC9,BMF,Non-kinase,Bcl2 modifying factor
P35226,BMI1,Non-kinase,"Bmi1 proto-oncogene, polycomb ring finger"
Q9NSY1,BMP2K,Other,Bmp2 inducible kinase
O00238,BMPR1B,TKL,Bone morphogenetic protein receptor type 1b
P51813,BMX,TK,Bmx non-receptor tyrosine kinase
Q01954,BNC1,Non-kinase,Basonuclin zinc finger protein 1
Q12983,BNIP3,Non-kinase,Bcl2 interacting protein 3
O60238,BNIP3L,Non-kinase,Bcl2 interacting protein 3 like
Q8NFC6,BOD1L1,Non-kinase,Biorientation of chromosomes in cell division 1 like 1
Q6PGQ7,BORA,Non-kinase,Bora aurora kinase a activator
P15056,BRAF,TKL,"B-raf proto-oncogene, serine/threonine kinase"
P38398,BRCA1,Non-kinase,Brca1 dna repair associated
P51587,BRCA2,Non-kinase,Brca2 dna repair associated
O60885,BRD4,Atypical,Bromodomain containing 4
Q9H8M2,BRD9,Non-kinase,Bromodomain containing 9
Q92994,BRF1,Non-kinase,Brf1 rna polymerase iii transcription initiation factor subunit
Q9HCU9,BRMS1,Non-kinase,Brms1 transcriptional repressor and anoikis regulator
Q8TDC3,BRSK1,CAMK,Br serine/threonine kinase 1
Q8IWQ3,BRSK2,CAMK,Br serine/threonine kinase 2
P35613,BSG,Non-kinase,Basigin (ok blood group)
P62324,BTG1,Non-kinase,Btg anti-proliferation factor 1
Q06187,BTK,TK,Bruton tyrosine kinase
Q7Z6A9,BTLA,Non-kinase,B and t lymphocyte associated
Q9Y297,BTRC,Non-kinase,Beta-transducin repeat containing e3 ubiquitin protein ligase
O43683,BUB1,Other,Bub1 mitotic checkpoint serine/threonine kinase
O60566,BUB1B,Other,Bub1 mitotic checkpoint serine/threonine kinase b
O43684,BUB3,Non-kinase,Bub3 mitotic checkpoint protein
Q9BRD0,BUD13,Non-kinase,Bud13 homolog
Q9H425,C1orf198,Non-kinase,Chromosome 1 open reading frame 198
P00736,C1R,Non-kinase,Complement c1r
Q86YS7,C2CD5,Non-kinase,C2 calcium dependent domain containing 5
Q9BVC5,C2orf49,Non-kinase,Chromosome 2 open reading frame 49
P21730,C5AR1,Non-kinase,Complement c5a receptor 1
Q8IXQ3,C9orf40,Non-kinase,Chromosome 9 open reading frame 40
Q8IXM2,C17orf49,Non-kinase,Chromosome 17 open reading frame 49
Q16790,CA9,Non-kinase,Carbonic anhydrase 9
Q9H8G2,CAAP1,Non-kinase,Caspase activity and apoptosis inhibitor 1
Q8TDN4,CABLES1,Non-kinase,Cdk5 and abl enzyme substrate 1
Q9NZU7,CABP1,Non-kinase,Calcium binding protein 1
O75952,CABYR,Non-kinase,Calcium binding tyrosine phosphorylation regulated
Q13936,CACNA1C,Non-kinase,Calcium voltage-gated channel subunit alpha1 c
O95180,CACNA1H,Non-kinase,Calcium voltage-gated channel subunit alpha1 h
Q08289,CACNB2,Non-kinase,Calcium voltage-gated channel auxiliary subunit beta 2
Q9Y698,CACNG2,Non-kinase,Calcium voltage-gated channel auxiliary subunit gamma 2
P27708,CAD,Non-kinase,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
Q05682,CALD1,Non-kinase,Caldesmon 1
P0DP23,CALM1,Non-kinase,Calmodulin 1
O43852,CALU,Non-kinase,Calumenin
Q14012,CAMK1,CAMK,Calcium/calmodulin dependent protein kinase i
Q8IU85,CAMK1D,CAMK,Calcium/calmodulin dependent protein kinase id
Q96NX5,CAMK1G,CAMK,Calcium/calmodulin dependent protein kinase ig
Q9UQM7,CAMK2A,CAMK,Calcium/calmodulin dependent protein kinase ii alpha
Q13554,CAMK2B,CAMK,Calcium/calmodulin dependent protein kinase ii beta
Q13557,CAMK2D,CAMK,Calcium/calmodulin dependent protein kinase ii delta
Q13555,CAMK2G,CAMK,Calcium/calmodulin dependent protein kinase ii gamma
Q16566,CAMK4,CAMK,Calcium/calmodulin dependent protein kinase iv
Q8N5S9,CAMKK1,Other,Calcium/calmodulin dependent protein kinase kinase 1
Q96RR4,CAMKK2,Other,Calcium/calmodulin dependent protein kinase kinase 2
Q5T5Y3,CAMSAP1,Non-kinase,Calmodulin regulated spectrin associated protein 1
Q08AD1,CAMSAP2,Non-kinase,Calmodulin regulated spectrin associated protein family member 2
P27824,CANX,Non-kinase,Calnexin
Q01518,CAP1,Non-kinase,Cyclase associated actin cytoskeleton regulatory protein 1
P07384,CAPN1,Non-kinase,Calpain 1
P17655,CAPN2,Non-kinase,Calpain 2
P52907,CAPZA1,Non-kinase,Capping actin protein of muscle z-line subunit alpha 1
P47756,CAPZB,Non-kinase,Capping actin protein of muscle z-line subunit beta
Q9H257,CARD9,Non-kinase,Caspase recruitment domain family member 9
Q9BXL7,CARD11,Non-kinase,Caspase recruitment domain family member 11
Q9Y2V2,CARHSP1,Non-kinase,Calcium regulated heat stable protein 1
Q86X55,CARM1,Non-kinase,Coactivator associated arginine methyltransferase 1
O14936,CASK,CAMK,Calcium/calmodulin dependent serine protein kinase
P29466,CASP1,Non-kinase,Caspase 1
P42575,CASP2,Non-kinase,Caspase 2
P42574,CASP3,Non-kinase,Caspase 3
P55212,CASP6,Non-kinase,Caspase 6
P55210,CASP7,Non-kinase,Caspase 7
Q14790,CASP8,Non-kinase,Caspase 8
P55211,CASP9,Non-kinase,Caspase 9
O14958,CASQ2,Non-kinase,Calsequestrin 2
P41180,CASR,Non-kinase,Calcium sensing receptor
P20810,CAST,Non-kinase,Calpastatin
Q8WTX7,CASTOR1,Non-kinase,Cytosolic arginine sensor for mtorc1 subunit 1
P04040,CAT,Non-kinase,Catalase
Q03135,CAV1,Non-kinase,Caveolin 1
P51636,CAV2,Non-kinase,Caveolin 2
Q6NZI2,CAVIN1,Non-kinase,Caveolae associated protein 1
P22681,CBL,Non-kinase,Cbl proto-oncogene
Q13191,CBLB,Non-kinase,Cbl proto-oncogene b
Q9ULV8,CBLC,Non-kinase,Cbl proto-oncogene c
P35520,CBS,Non-kinase,Cystathionine beta-synthase
P83916,CBX1,Non-kinase,Chromobox 1
Q13185,CBX3,Non-kinase,Chromobox 3
O00257,CBX4,Non-kinase,Chromobox 4
P45973,CBX5,Non-kinase,Chromobox 5
Q9HC52,CBX8,Non-kinase,Chromobox 8
Q9Y3M2,CBY1,Non-kinase,"Chibby 1, beta catenin antagonist"
Q6P1N0,CC2D1A,Non-kinase,Coiled-coil and c2 domain containing 1a
Q8N163,CCAR2,Non-kinase,Cell cycle and apoptosis regulator 2
Q16204,CCDC6,Non-kinase,Coiled-coil domain containing 6
Q8IVM0,CCDC50,Non-kinase,Coiled-coil domain containing 50
Q76M96,CCDC80,Non-kinase,Coiled-coil domain containing 80
Q8N4S0,CCDC82,Non-kinase,Coiled-coil domain containing 82
Q9H6F5,CCDC86,Non-kinase,Coiled-coil domain containing 86
Q3V6T2,CCDC88A,Non-kinase,Coiled-coil domain containing 88a
Q9P219,CCDC88C,Non-kinase,Coiled-coil domain containing 88c
Q9BSQ5,CCM2,Non-kinase,Ccm2 scaffold protein
P20248,CCNA2,Non-kinase,Cyclin a2
P14635,CCNB1,Non-kinase,Cyclin b1
P24385,CCND1,Non-kinase,Cyclin d1
P30279,CCND2,Non-kinase,Cyclin d2
P30281,CCND3,Non-kinase,Cyclin d3
P24864,CCNE1,Non-kinase,Cyclin e1
P41002,CCNF,Non-kinase,Cyclin f
P51946,CCNH,Non-kinase,Cyclin h
Q96S94,CCNL2,Non-kinase,Cyclin l2
P22674,CCNO,Non-kinase,Cyclin o
O60563,CCNT1,Non-kinase,Cyclin t1
Q8ND76,CCNY,Non-kinase,Cyclin y
O43303,CCP110,Non-kinase,Centriolar coiled-coil protein 110
P41597,CCR2,Non-kinase,C-c motif chemokine receptor 2
P51681,CCR5,Non-kinase,C-c motif chemokine receptor 5
P32248,CCR7,Non-kinase,C-c motif chemokine receptor 7
P78371,CCT2,Non-kinase,Chaperonin containing tcp1 subunit 2
P07766,CD3E,Non-kinase,Cd3 epsilon subunit of t-cell receptor complex
P09693,CD3G,Non-kinase,Cd3 gamma subunit of t-cell receptor complex
P01730,CD4,Non-kinase,Cd4 molecule
P06127,CD5,Non-kinase,Cd5 molecule
P30203,CD6,Non-kinase,Cd6 molecule
P15391,CD19,Non-kinase,Cd19 molecule
P10747,CD28,Non-kinase,Cd28 molecule
P20138,CD33,Non-kinase,Cd33 molecule
P16671,CD36,Non-kinase,Cd36 molecule
P16070,CD44,Non-kinase,Cd44 molecule (indian blood group)
P15529,CD46,Non-kinase,Cd46 molecule
P11912,CD79A,Non-kinase,Cd79a molecule
P40259,CD79B,Non-kinase,Cd79b molecule
Q9NPY3,CD93,Non-kinase,Cd93 molecule
Q86VB7,CD163,Non-kinase,Cd163 molecule
Q15762,CD226,Non-kinase,Cd226 molecule
P20963,CD247,Non-kinase,Cd247 molecule
Q9NZQ7,CD274,Non-kinase,Cd274 molecule
A8K4G0,CD300LB,Non-kinase,Cd300 molecule like family member b
Q8TDQ1,CD300LF,Non-kinase,Cd300 molecule like family member f
Q99459,CDC5L,Non-kinase,Cell division cycle 5 like
Q99741,CDC6,Non-kinase,Cell division cycle 6
O00311,CDC7,Other,Cell division cycle 7
Q9UNH5,CDC14A,Non-kinase,Cell division cycle 14a
Q13042,CDC16,Non-kinase,Cell division cycle 16
Q12834,CDC20,Non-kinase,Cell division cycle 20
Q9UJX2,CDC23,Non-kinase,Cell division cycle 23
P30304,CDC25A,Non-kinase,Cell division cycle 25a
P30305,CDC25B,Non-kinase,Cell division cycle 25b
P30307,CDC25C,Non-kinase,Cell division cycle 25c
Q8NHZ8,CDC26,Non-kinase,Cell division cycle 26
P30260,CDC27,Non-kinase,Cell division cycle 27
P49427,CDC34,Non-kinase,"Cell division cycle 34, ubiqiutin conjugating enzyme"
Q16543,CDC37,Non-kinase,"Cell division cycle 37, hsp90 cochaperone"
P60953,CDC42,Non-kinase,Cell division cycle 42
Q5VT25,CDC42BPA,AGC,Cdc42 binding protein kinase alpha
Q9Y5S2,CDC42BPB,AGC,Cdc42 binding protein kinase beta
Q9H3Q1,CDC42EP4,Non-kinase,Cdc42 effector protein 4
Q6P1J9,CDC73,Non-kinase,Cell division cycle 73
Q69YH5,CDCA2,Non-kinase,Cell division cycle associated 2
Q96FF9,CDCA5,Non-kinase,Cell division cycle associated 5
Q9BWT1,CDCA7,Non-kinase,Cell division cycle associated 7
